name,sub,area,prefecture,url
おいらせ下田,OIRASE SHIMODA,1,1,
秋田,AKITA,1,2,
仙台,SENDAI,1,3,
日比谷,HIBIYA,2,4,
シャンテ,CHANTER,2,4,
新宿,SHINJUKU,2,4,
池袋,IKEBUKURO,2,4,
日本橋,NIHONBASHI,2,4,
上野,UENO,2,4,
六本木ヒルズ,ROPPONGI HILLS,2,4,
渋谷,SHIBUYA,2,4,
西新井,NISHIARAI,2,4,
南大沢,MINAMIOSAWA,2,4,
府中,FUCHU,2,4,
立川立飛,TACHIKAWA TACHIHI,2,4,
錦糸町（楽天地・オリナス）,KINSHICHO,2,4,
ららぽーと船橋,LALAPORT FUNABASHI,2,5,
市川コルトンプラザ,ICHIKAWA COLTON PLAZA,2,5,
柏,KASHIWA,2,5,
八千代緑が丘,YACHIYO MIDORIGAOKA,2,5,
流山おおたかの森,NAGAREYAMA OTAKANOMORI,2,5,
市原,ICHIHARA,2,5,
海老名,EBINA,2,6,
小田原,ODAWARA,2,6,
川崎,KAWASAKI,2,6,
ららぽーと横浜,LALAPORT YOKOHAMA,2,6,
上大岡,KAMIOOKA,2,6,
ららぽーと富士見,LALAPORT FUJIMI,2,7,
宇都宮,UTSUNOMIYA,2,8,
ひたちなか,HITACHINAKA,2,9,
水戸内原,MITOUCHIHARA,2,9,
甲府,KOFU,2,10,
赤池,AKAIKE,3,11,
津島,TSUSHIMA,3,11,
東浦,HIGASHIURA,3,11,
木曽川,KISOGAWA,3,11,
浜松,HAMAMATSU,3,12,
サンストリート浜北,SUN STREET HAMAKITA,3,12,
ららぽーと磐田,LALAPORT IWATA,3,12,
岐阜,GIFU,3,13,
モレラ岐阜,MALERA GIFU,3,13,
ファボーレ富山,FAVORE TOYAMA,3,14,
高岡,TAKAOKA,3,14,
上田,UEDA,3,15,
梅田,UMEDA,4,16,
なんば（本館・別館）,NAMBA (MAIN BUILDING/ANNEX),4,16,
泉北,SENBOKU,4,16,
鳳,OTORI,4,16,
くずはモール,KUZUHA MALL,4,16,
二条,NIJO,4,17,
西宮OS,NISHINOMIYA OS,4,18,
伊丹,ITAMI,4,18,
橿原,KASHIHARA,4,19,
岡南,KONAN,5,20,
緑井,MIDORII,5,21,
高知,KOCHI,6,22,
新居浜,TENJIN SOLARIA PLAZA,6,23,
天神・ソラリア館,NIIHAMA,7,24,
福津,FUKUTSU,7,24,
直方,NOGATA,7,24,
長崎,NAGASAKI,7,25,
熊本サクラマチ,KUMAMOTO SAKURAMACHI,7,26,
光の森,HIKARINOMORI,7,26,
はません,HAMASEN,7,26,
宇城,UKI,7,26,
大分わさだ,OITA WASADA,7,27,
アミュプラザおおいた,AMU PLAZA OITA,7,27,
与次郎,YOJIRO,7,28,
